iter	Passed	Remaining
0	58	58290
1	121	60700
2	188	62489
3	251	62648
4	310	61723
5	370	61362
6	437	62004
7	504	62515
8	573	63099
9	642	63601
10	712	64057
11	781	64337
12	846	64306
13	864	60909
14	931	61176
15	998	61433
16	1063	61520
17	1130	61661
18	1199	61917
19	1263	61915
20	1327	61883
21	1387	61669
22	1448	61509
23	1508	61327
24	1573	61375
25	1634	61240
26	1697	61158
27	1756	60985
28	1818	60896
29	1880	60817
30	1945	60813
31	2006	60692
32	2066	60565
33	2132	60595
34	2196	60555
35	2260	60520
36	2322	60451
37	2383	60346
38	2447	60307
39	2509	60220
40	2591	60610
41	2651	60486
42	2714	60414
43	2776	60319
44	2838	60239
45	2904	60237
46	2966	60141
47	3026	60015
48	3088	59941
49	3151	59883
50	3231	60121
51	3292	60017
52	3353	59915
53	3414	59818
54	3480	59796
55	3544	59744
56	3607	59688
57	3670	59607
58	3734	59565
59	3798	59513
60	3881	59751
61	3945	59691
62	4013	59688
63	4077	59632
64	4138	59524
65	4203	59488
66	4266	59410
67	4328	59322
68	4393	59275
69	4456	59214
70	4523	59190
71	4585	59101
72	4652	59082
73	4717	59029
74	4782	58985
75	4848	58942
76	4911	58879
77	4973	58791
78	5038	58735
79	5103	58686
80	5166	58620
81	5226	58508
82	5287	58419
83	5355	58401
84	5420	58345
85	5482	58262
86	5547	58214
87	5611	58154
88	5678	58121
89	5740	58038
90	5805	57996
91	5873	57964
92	5935	57890
93	6011	57943
94	6079	57912
95	6142	57842
96	6204	57755
97	6270	57714
98	6341	57709
99	6429	57869
100	6536	58182
101	6619	58276
102	6694	58299
103	6765	58290
104	6847	58369
105	6925	58407
106	7000	58423
107	7068	58384
108	7137	58346
109	7208	58322
110	7279	58302
111	7350	58277
112	7420	58247
113	7536	58571
114	7617	58621
115	7693	58627
116	7769	58633
117	7841	58609
118	7916	58608
119	7988	58584
120	8071	58632
121	8141	58592
122	8212	58557
123	8288	58556
124	8367	58574
125	8438	58535
126	8509	58491
127	8580	58452
128	8651	58412
129	8720	58362
130	8796	58350
131	8867	58312
132	8944	58305
133	9020	58296
134	9100	58310
135	9185	58357
136	9256	58309
137	9326	58256
138	9401	58235
139	9471	58179
140	9551	58188
141	9623	58148
142	9693	58094
143	9769	58073
144	9845	58056
145	9929	58078
146	10005	58060
147	10079	58023
148	10153	57989
149	10227	57957
150	10305	57944
151	10378	57900
152	10450	57852
153	10521	57801
154	10598	57781
155	10674	57751
156	10744	57692
157	10822	57674
158	10894	57626
159	10967	57579
160	11044	57552
161	11118	57514
162	11197	57496
163	11289	57550
164	11372	57551
165	11447	57514
166	11525	57488
167	11596	57430
168	11669	57378
169	11742	57328
170	11813	57273
171	11887	57224
172	11960	57175
173	12030	57110
174	12100	57043
175	12170	56981
176	12241	56921
177	12312	56857
178	12387	56815
179	12458	56756
180	12528	56690
181	12601	56637
182	12672	56577
183	12745	56522
184	12823	56491
185	12896	56441
186	12971	56394
187	13043	56336
188	13113	56270
189	13185	56211
190	13261	56168
191	13333	56112
192	13405	56052
193	13472	55975
194	13546	55924
195	13618	55864
196	13690	55805
197	13762	55746
198	13837	55697
199	13907	55631
200	13980	55573
201	14052	55513
202	14125	55458
203	14197	55398
204	14269	55339
205	14340	55272
206	14414	55219
207	14491	55179
208	14564	55123
209	14638	55067
210	14708	55001
211	14781	54941
212	14855	54889
213	14945	54893
214	15034	54892
215	15111	54848
216	15191	54815
217	15267	54766
218	15354	54758
219	15451	54781
220	15549	54810
221	15639	54808
222	15723	54787
223	15832	54848
224	15928	54865
225	16032	54909
226	16136	54948
227	16240	54988
228	16321	54953
229	16402	54911
230	16483	54873
231	16565	54836
232	16669	54874
233	16768	54890
234	16859	54884
235	16946	54862
236	17029	54825
237	17106	54768
238	17179	54701
239	17259	54654
240	17340	54613
241	17419	54560
242	17492	54492
243	17571	54443
244	17648	54386
245	17731	54347
246	17817	54317
247	17895	54264
248	17975	54214
249	18057	54171
250	18132	54107
251	18209	54051
252	18291	54005
253	18374	53965
254	18447	53895
255	18529	53850
256	18612	53808
257	18690	53752
258	18767	53694
259	18847	53642
260	18926	53590
261	19011	53551
262	19091	53500
263	19176	53461
264	19254	53404
265	19329	53336
266	19402	53266
267	19473	53189
268	19549	53125
269	19624	53058
270	19700	52994
271	19776	52930
272	19848	52855
273	19921	52785
274	19995	52715
275	20078	52668
276	20157	52613
277	20233	52548
278	20315	52499
279	20390	52431
280	20469	52376
281	20544	52308
282	20618	52237
283	20697	52181
284	20774	52119
285	20852	52058
286	20929	51994
287	21005	51930
288	21086	51877
289	21164	51815
290	21239	51749
291	21318	51689
292	21405	51650
293	21481	51585
294	21559	51524
295	21660	51516
296	21742	51465
297	21829	51423
298	21921	51394
299	22008	51352
300	22100	51323
301	22187	51280
302	22270	51230
303	22352	51175
304	22434	51121
305	22521	51077
306	22603	51022
307	22685	50968
308	22776	50934
309	22867	50897
310	22950	50845
311	23035	50796
312	23124	50755
313	23208	50702
314	23297	50662
315	23387	50623
316	23466	50559
317	23542	50490
318	23625	50436
319	23712	50389
320	23796	50335
321	23875	50273
322	23970	50240
323	24072	50226
324	24158	50176
325	24268	50175
326	24366	50149
327	24454	50102
328	24544	50058
329	24682	50112
330	24756	50036
331	24837	49973
332	24910	49896
333	24997	49844
334	25082	49790
335	25156	49713
336	25241	49659
337	25323	49597
338	25405	49536
339	25481	49463
340	25561	49398
341	25643	49337
342	25731	49288
343	25818	49234
344	25904	49181
345	25988	49122
346	26070	49060
347	26155	49003
348	26238	48944
349	26334	48906
350	26409	48830
351	26491	48769
352	26571	48701
353	26648	48629
354	26722	48551
355	26803	48488
356	26877	48409
357	26951	48331
358	27028	48260
359	27102	48181
360	27171	48096
361	27251	48028
362	27326	47952
363	27401	47878
364	27485	47816
365	27561	47743
366	27637	47668
367	27708	47586
368	27786	47515
369	27858	47435
370	27930	47354
371	28003	47275
372	28083	47207
373	28155	47126
374	28226	47043
375	28298	46962
376	28373	46887
377	28445	46807
378	28514	46720
379	28586	46641
380	28659	46561
381	28736	46489
382	28807	46408
383	28879	46327
384	28950	46246
385	29020	46162
386	29094	46084
387	29163	45999
388	29233	45917
389	29304	45835
390	29380	45761
391	29453	45682
392	29522	45598
393	29593	45516
394	29662	45432
395	29732	45349
396	29805	45270
397	29879	45194
398	29955	45120
399	30026	45040
400	30098	44960
401	30171	44881
402	30241	44799
403	30312	44718
404	30383	44638
405	30456	44559
406	30528	44480
407	30602	44403
408	30674	44324
409	30747	44245
410	30820	44168
411	30896	44094
412	30973	44022
413	31049	43948
414	31124	43874
415	31201	43801
416	31274	43724
417	31348	43648
418	31421	43570
419	31493	43491
420	31566	43412
421	31639	43335
422	31709	43253
423	31783	43177
424	31856	43099
425	31929	43021
426	31999	42940
427	32070	42860
428	32141	42780
429	32213	42700
430	32285	42622
431	32358	42545
432	32431	42468
433	32504	42390
434	32575	42310
435	32646	42231
436	32718	42151
437	32792	42076
438	32864	41998
439	32939	41922
440	33012	41845
441	33085	41768
442	33157	41690
443	33230	41613
444	33302	41534
445	33372	41454
446	33445	41376
447	33521	41302
448	33592	41224
449	33668	41149
450	33740	41072
451	33814	40996
452	33886	40918
453	33956	40837
454	34027	40758
455	34098	40679
456	34170	40600
457	34243	40523
458	34325	40457
459	34406	40390
460	34486	40321
461	34569	40256
462	34646	40184
463	34728	40117
464	34812	40052
465	34893	39985
466	34976	39919
467	35053	39846
468	35144	39790
469	35218	39714
470	35292	39638
471	35369	39565
472	35449	39496
473	35528	39426
474	35605	39353
475	35683	39282
476	35757	39205
477	35835	39134
478	35907	39056
479	35980	38979
480	36054	38902
481	36130	38829
482	36204	38753
483	36279	38678
484	36358	38607
485	36434	38533
486	36512	38461
487	36589	38388
488	36662	38312
489	36738	38237
490	36816	38166
491	36888	38088
492	36961	38010
493	37031	37930
494	37103	37853
495	37174	37774
496	37250	37699
497	37326	37626
498	37402	37551
499	37475	37475
500	37549	37399
501	37622	37322
502	37694	37244
503	37769	37170
504	37844	37095
505	37916	37017
506	37988	36939
507	38059	36861
508	38131	36783
509	38217	36718
510	38293	36645
511	38366	36567
512	38439	36490
513	38510	36413
514	38581	36334
515	38654	36256
516	38728	36181
517	38806	36109
518	38878	36031
519	38950	35954
520	39023	35877
521	39097	35801
522	39172	35727
523	39251	35655
524	39325	35580
525	39404	35508
526	39477	35432
527	39553	35358
528	39625	35281
529	39696	35202
530	39768	35125
531	39842	35048
532	39915	34972
533	39986	34894
534	40060	34818
535	40133	34742
536	40207	34666
537	40282	34592
538	40358	34518
539	40431	34441
540	40508	34368
541	40582	34292
542	40653	34214
543	40727	34139
544	40801	34063
545	40872	33985
546	40946	33909
547	41017	33831
548	41087	33753
549	41157	33674
550	41227	33595
551	41298	33517
552	41369	33439
553	41439	33361
554	41511	33284
555	41582	33206
556	41657	33131
557	41739	33062
558	41821	32993
559	41896	32918
560	41970	32843
561	42052	32773
562	42131	32702
563	42209	32630
564	42287	32557
565	42368	32487
566	42459	32425
567	42567	32374
568	42667	32319
569	42791	32281
570	42919	32246
571	43007	32180
572	43085	32107
573	43168	32037
574	43244	31962
575	43321	31889
576	43395	31813
577	43471	31738
578	43550	31665
579	43627	31592
580	43747	31549
581	43846	31491
582	43938	31427
583	44012	31351
584	44090	31277
585	44167	31203
586	44246	31130
587	44328	31060
588	44420	30996
589	44499	30923
590	44578	30850
591	44655	30775
592	44731	30700
593	44809	30627
594	44885	30552
595	44962	30478
596	45041	30405
597	45114	30328
598	45190	30253
599	45264	30176
600	45348	30106
601	45434	30038
602	45516	29967
603	45598	29895
604	45680	29824
605	45767	29756
606	45851	29686
607	45934	29615
608	46006	29537
609	46080	29461
610	46152	29383
611	46224	29305
612	46296	29227
613	46367	29149
614	46443	29074
615	46522	29000
616	46605	28930
617	46683	28856
618	46758	28780
619	46832	28703
620	46910	28629
621	46985	28553
622	47057	28476
623	47127	28397
624	47207	28324
625	47280	28247
626	47354	28170
627	47429	28095
628	47504	28019
629	47577	27942
630	47649	27864
631	47722	27787
632	47794	27710
633	47869	27634
634	47942	27557
635	48015	27480
636	48087	27403
637	48159	27325
638	48230	27247
639	48302	27170
640	48374	27092
641	48445	27014
642	48516	26936
643	48599	26865
644	48672	26788
645	48752	26715
646	48823	26637
647	48896	26561
648	48969	26484
649	49044	26408
650	49116	26331
651	49188	26254
652	49261	26177
653	49334	26100
654	49406	26023
655	49478	25946
656	49550	25868
657	49621	25791
658	49696	25715
659	49784	25646
660	49855	25568
661	49925	25490
662	49997	25413
663	50069	25336
664	50142	25259
665	50213	25182
666	50291	25108
667	50368	25033
668	50442	24957
669	50514	24880
670	50586	24803
671	50663	24728
672	50744	24656
673	50827	24584
674	50919	24516
675	50996	24442
676	51079	24370
677	51152	24293
678	51226	24217
679	51300	24141
680	51380	24068
681	51453	23991
682	51529	23916
683	51601	23839
684	51676	23763
685	51748	23686
686	51820	23609
687	51894	23533
688	51981	23463
689	52063	23390
690	52138	23315
691	52217	23241
692	52299	23168
693	52383	23096
694	52464	23024
695	52545	22950
696	52624	22877
697	52705	22803
698	52781	22728
699	52859	22653
700	52938	22580
701	53016	22505
702	53091	22429
703	53166	22354
704	53242	22278
705	53319	22203
706	53392	22127
707	53466	22051
708	53541	21975
709	53620	21901
710	53697	21826
711	53771	21750
712	53850	21675
713	53927	21601
714	54003	21525
715	54074	21448
716	54152	21373
717	54225	21297
718	54299	21221
719	54386	21150
720	54488	21084
721	54569	21011
722	54647	20936
723	54730	20863
724	54817	20792
725	54890	20716
726	54961	20639
727	55037	20563
728	55110	20487
729	55182	20410
730	55258	20334
731	55331	20258
732	55448	20197
733	55525	20122
734	55604	20047
735	55693	19976
736	55764	19899
737	55837	19822
738	55912	19747
739	55985	19670
740	56057	19593
741	56129	19516
742	56202	19440
743	56276	19364
744	56352	19288
745	56427	19212
746	56501	19136
747	56573	19059
748	56648	18983
749	56722	18907
750	56800	18832
751	56870	18755
752	56940	18677
753	57016	18602
754	57098	18528
755	57171	18452
756	57244	18375
757	57316	18298
758	57386	18221
759	57458	18144
760	57532	18068
761	57608	17993
762	57687	17918
763	57764	17843
764	57839	17767
765	57918	17693
766	57995	17617
767	58072	17542
768	58153	17468
769	58229	17393
770	58301	17316
771	58373	17239
772	58447	17163
773	58523	17088
774	58597	17012
775	58671	16936
776	58748	16860
777	58825	16785
778	58897	16708
779	58975	16634
780	59053	16559
781	59132	16484
782	59208	16409
783	59281	16332
784	59356	16256
785	59432	16181
786	59511	16106
787	59584	16030
788	59657	15954
789	59733	15878
790	59805	15802
791	59879	15725
792	59951	15649
793	60025	15573
794	60096	15496
795	60169	15420
796	60240	15343
797	60315	15267
798	60389	15191
799	60461	15115
800	60535	15039
801	60609	14963
802	60683	14887
803	60762	14812
804	60844	14738
805	60926	14664
806	61000	14588
807	61075	14512
808	61147	14436
809	61222	14360
810	61296	14284
811	61375	14210
812	61449	14134
813	61527	14059
814	61602	13983
815	61677	13907
816	61751	13831
817	61821	13754
818	61895	13678
819	61967	13602
820	62039	13526
821	62109	13449
822	62181	13373
823	62255	13297
824	62339	13223
825	62414	13147
826	62489	13072
827	62562	12996
828	62634	12919
829	62707	12843
